,Country Name,Country Code,year,population
509,Algeria,DZA,1998,30192754
510,American Samoa,ASM,1998,56171
511,Andorra,AND,1998,64142
512,Angola,AGO,1998,15359601
513,Antigua and Barbuda,ATG,1998,73224
514,Argentina,ARG,1998,36063459
515,Armenia,ARM,1998,3108687
516,Aruba,ABW,1998,87277
517,Australia,AUS,1998,18711000
518,Austria,AUT,1998,7976789
519,Azerbaijan,AZE,1998,7913000
520,Afghanistan,AFG,1999,20170844
521,Albania,ALB,1999,3108778
522,Algeria,DZA,1999,30623406
523,American Samoa,ASM,1999,57053
524,Andorra,AND,1999,64370
525,Angola,AGO,1999,15866869
526,Antigua and Barbuda,ATG,1999,74674
527,Argentina,ARG,1999,36467218
528,Armenia,ARM,1999,3089022
529,Aruba,ABW,1999,89005
530,Australia,AUS,1999,18926000
531,Austria,AUT,1999,7992324
532,Azerbaijan,AZE,1999,7982750
533,Afghanistan,AFG,2000,20779953
534,Albania,ALB,2000,3089027
535,Algeria,DZA,2000,31042235
536,American Samoa,ASM,2000,57821
537,Andorra,AND,2000,65390
538,Angola,AGO,2000,16395473
539,Antigua and Barbuda,ATG,2000,76016
540,Argentina,ARG,2000,36870787
541,Armenia,ARM,2000,3069591
542,Aruba,ABW,2000,90853
543,Australia,AUS,2000,19153000
544,Austria,AUT,2000,8011566
545,Azerbaijan,AZE,2000,8048600
546,Afghanistan,AFG,2001,21606988
547,Albania,ALB,2001,3060173
548,Algeria,DZA,2001,31451514
549,American Samoa,ASM,2001,58494
550,Andorra,AND,2001,67341
551,Angola,AGO,2001,16945753
552,Antigua and Barbuda,ATG,2001,77212
553,Argentina,ARG,2001,37275652
554,Armenia,ARM,2001,3050687
555,Aruba,ABW,2001,92898
556,Australia,AUS,2001,19413000
557,Austria,AUT,2001,8042293
558,Azerbaijan,AZE,2001,8111200
559,Afghanistan,AFG,2002,22600770
560,Albania,ALB,2002,3051010
561,Algeria,DZA,2002,31855109
562,American Samoa,ASM,2002,59080
563,Andorra,AND,2002,70049
564,Angola,AGO,2002,17519417
565,Antigua and Barbuda,ATG,2002,78295
566,Argentina,ARG,2002,37681749
567,Armenia,ARM,2002,3033978
568,Aruba,ABW,2002,94992
569,Australia,AUS,2002,19651400
570,Austria,AUT,2002,8081957
571,Azerbaijan,AZE,2002,8171950
572,Afghanistan,AFG,2003,23680871
573,Albania,ALB,2003,3039616
574,Algeria,DZA,2003,32264157
575,American Samoa,ASM,2003,59504
576,Andorra,AND,2003,73182
577,Angola,AGO,2003,18121479
578,Antigua and Barbuda,ATG,2003,79300
579,Argentina,ARG,2003,38087868
580,Armenia,ARM,2003,3017932
581,Aruba,ABW,2003,97017
582,Australia,AUS,2003,19895400
583,Austria,AUT,2003,8121423
584,Azerbaijan,AZE,2003,8234100
585,Afghanistan,AFG,2004,24726684
586,Albania,ALB,2004,3026939
587,Algeria,DZA,2004,32692163
588,American Samoa,ASM,2004,59681
589,Andorra,AND,2004,76244
590,Angola,AGO,2004,18758145
591,Antigua and Barbuda,ATG,2004,80336
592,Argentina,ARG,2004,38491972
593,Armenia,ARM,2004,3000720
594,Aruba,ABW,2004,98737
595,Australia,AUS,2004,20127400
596,Austria,AUT,2004,8171966
597,Azerbaijan,AZE,2004,8306500
598,Afghanistan,AFG,2005,25654277
599,Albania,ALB,2005,3011487
600,Algeria,DZA,2005,33149724
601,American Samoa,ASM,2005,59562
602,Andorra,AND,2005,78867
603,Angola,AGO,2005,19433602
604,Antigua and Barbuda,ATG,2005,81465
605,Argentina,ARG,2005,38892931
606,Armenia,ARM,2005,2981269
607,Aruba,ABW,2005,100031
608,Australia,AUS,2005,20394800
609,Austria,AUT,2005,8227829
610,Azerbaijan,AZE,2005,8391850
611,Afghanistan,AFG,2006,26433049
612,Albania,ALB,2006,2992547
613,Algeria,DZA,2006,33641002
614,American Samoa,ASM,2006,59107
615,Andorra,AND,2006,80993
616,Angola,AGO,2006,20149901
617,Antigua and Barbuda,ATG,2006,82704
618,Argentina,ARG,2006,39289878
619,Armenia,ARM,2006,2958307
620,Aruba,ABW,2006,100834
621,Australia,AUS,2006,20697900
622,Austria,AUT,2006,8268641
623,Azerbaijan,AZE,2006,8484550
624,Afghanistan,AFG,2007,27100536
625,Albania,ALB,2007,2970017
626,Algeria,DZA,2007,34166972
627,American Samoa,ASM,2007,58365
628,Andorra,AND,2007,82684
629,Angola,AGO,2007,20905363
630,Antigua and Barbuda,ATG,2007,84026
631,Argentina,ARG,2007,39684295
632,Armenia,ARM,2007,2932618
633,Aruba,ABW,2007,101222
634,Australia,AUS,2007,20827600
635,Austria,AUT,2007,8295487
636,Azerbaijan,AZE,2007,8581300
637,Afghanistan,AFG,2008,27722276
638,Albania,ALB,2008,2947314
639,Algeria,DZA,2008,34730608
640,American Samoa,ASM,2008,57492
641,Andorra,AND,2008,83862
642,Angola,AGO,2008,21695634
643,Antigua and Barbuda,ATG,2008,85397
644,Argentina,ARG,2008,40080160
645,Armenia,ARM,2008,2907618
646,Aruba,ABW,2008,101358
647,Australia,AUS,2008,21249200
648,Austria,AUT,2008,8321496
649,Azerbaijan,AZE,2008,8763400
650,Afghanistan,AFG,2009,28394813
651,Albania,ALB,2009,2927519
652,Algeria,DZA,2009,35333881
653,American Samoa,ASM,2009,56683
654,Andorra,AND,2009,84463
655,Angola,AGO,2009,22514281
656,Antigua and Barbuda,ATG,2009,86746
657,Argentina,ARG,2009,40482788
658,Armenia,ARM,2009,2888092
659,Aruba,ABW,2009,101455
660,Australia,AUS,2009,21691700
661,Austria,AUT,2009,8343323
662,Azerbaijan,AZE,2009,8947243
663,Afghanistan,AFG,2010,29185507
664,Albania,ALB,2010,2913021
665,Algeria,DZA,2010,35977455
666,American Samoa,ASM,2010,56079
667,Andorra,AND,2010,84449
668,Angola,AGO,2010,23356246
669,Antigua and Barbuda,ATG,2010,88028
670,Argentina,ARG,2010,40788453
671,Armenia,ARM,2010,2877319
672,Aruba,ABW,2010,101669
673,Australia,AUS,2010,22031750
674,Austria,AUT,2010,8363404
675,Azerbaijan,AZE,2010,9054332
676,Afghanistan,AFG,2011,30117413
677,Albania,ALB,2011,2905195
678,Algeria,DZA,2011,36661444
679,American Samoa,ASM,2011,55759
680,Andorra,AND,2011,83747
681,Angola,AGO,2011,24220661
682,Antigua and Barbuda,ATG,2011,89253
683,Argentina,ARG,2011,41261490
684,Armenia,ARM,2011,2876538
685,Aruba,ABW,2011,102046
686,Australia,AUS,2011,22340024
687,Austria,AUT,2011,8391643
688,Azerbaijan,AZE,2011,9173082
689,Afghanistan,AFG,2012,31161376
690,Albania,ALB,2012,2900401
691,Algeria,DZA,2012,37383887
692,American Samoa,ASM,2012,55667
693,Andorra,AND,2012,82427
694,Angola,AGO,2012,25107931
695,Antigua and Barbuda,ATG,2012,90409
696,Argentina,ARG,2012,41733271
697,Armenia,ARM,2012,2884229
698,Aruba,ABW,2012,102560
699,Australia,AUS,2012,22733465
700,Austria,AUT,2012,8429991
701,Azerbaijan,AZE,2012,9295784
702,Afghanistan,AFG,2013,32269589
703,Albania,ALB,2013,2895092
704,Algeria,DZA,2013,38140132
705,American Samoa,ASM,2013,55713
706,Andorra,AND,2013,80774
707,Angola,AGO,2013,26015780
708,Antigua and Barbuda,ATG,2013,91516
709,Argentina,ARG,2013,42202935
710,Armenia,ARM,2013,2897584
711,Aruba,ABW,2013,103159
712,Australia,AUS,2013,23128129
713,Austria,AUT,2013,8479823
714,Azerbaijan,AZE,2013,9416801
715,Afghanistan,AFG,2014,33370794
716,Albania,ALB,2014,2889104
717,Algeria,DZA,2014,38923687
718,American Samoa,ASM,2014,55791
719,Andorra,AND,2014,79213
720,Angola,AGO,2014,26941779
721,Antigua and Barbuda,ATG,2014,92562
722,Argentina,ARG,2014,42669500
723,Armenia,ARM,2014,2912403
724,Aruba,ABW,2014,103774
725,Australia,AUS,2014,23475686
726,Austria,AUT,2014,8546356
727,Azerbaijan,AZE,2014,9535079
728,Afghanistan,AFG,2015,34413603
729,Albania,ALB,2015,2880703
730,Algeria,DZA,2015,39728025
731,American Samoa,ASM,2015,55812
732,Andorra,AND,2015,78011
733,Angola,AGO,2015,27884381
734,Antigua and Barbuda,ATG,2015,93566
735,Argentina,ARG,2015,43131966
736,Armenia,ARM,2015,2925553
737,Aruba,ABW,2015,104341
738,Australia,AUS,2015,23815995
739,Austria,AUT,2015,8642699
740,Azerbaijan,AZE,2015,9649341
741,Afghanistan,AFG,2016,35383128
742,Albania,ALB,2016,2876101
743,Algeria,DZA,2016,40551404
744,American Samoa,ASM,2016,55741
745,Andorra,AND,2016,77297
746,Angola,AGO,2016,28842484
747,Antigua and Barbuda,ATG,2016,94527
748,Argentina,ARG,2016,43590368
749,Armenia,ARM,2016,2936146
750,Aruba,ABW,2016,104872
751,Australia,AUS,2016,24190907
752,Austria,AUT,2016,8736668
753,Azerbaijan,AZE,2016,9757812
754,Afghanistan,AFG,2017,36296400
755,Albania,ALB,2017,2873457
756,Algeria,DZA,2017,41389198
757,American Samoa,ASM,2017,55620
758,Andorra,AND,2017,77001
759,Angola,AGO,2017,29816748
